Lemma,Word,POS-tag,Excerpt
αἰτία,αἰτίαν,NOUN,[]
αἰτιάομαι,αἰτιῶνται,VERB,[]
αἴτιος,αἴτιοι,ADJ,[]
αἴτιος,αἰτίους,ADJ,[]
αἴτιος,αἴτιον,ADJ,[]
αἴτιος,αἴτιος,ADJ,[]
αὐτός,αὐταῖς,DET,[]
αὐτός,αὑτῶν,PRON,[]
αὐτός,αὐτοῦ,PRON,[]
αὐτός,αὐτὰ,PRON,[]
αὐτός,αὐτοῖσι,PRON,[]
αὐτός,αὐτοὶ,ADJ,[]
αὐτός,αὐτῶν,PRON,[]
αὐτός,αὐτὸ,PRON,[]
αὐτός,αὐτὸν,PRON,[]
αὐτός,αὐτὴν,DET,[]
αὐτός,αὐτοὺς,PRON,[]
βίος,βίον,NOUN,[]
βίος,βίῳ,NOUN,[]
βροτός,βροτῷ,NOUN,[]
γάρ,γάρ,ADV,[]
γάρ,γὰρ,ADV,[]
γίγνομαι,γένηται,VERB,[]
γίγνομαι,γεγόνασι,VERB,[]
γίγνομαι,γένοιτο,VERB,[]
γίγνομαι,γινομένη,VERB,[]
γίγνομαι,γίνεσθαι,VERB,[]
γε,γε,ADV,[]
γνώμη,γνώμην,NOUN,[]
γνώριμος,γνώριμον,ADJ,[]
γράφω,γέγραπται,VERB,[]
δέ,δὲ,ADV,[]
δέ,δʼ,ADV,[]
δέω,δέομαι,VERB,[]
δή,δὴ,ADV,[]
δίκαιος,δικαιοτέρα,ADJ,[]
δεδοκιμασμένον,δεδοκιμασμένον,VERB,[]
δειλός,δειλὸς,ADJ,[]
δεινός,δεινότατον,ADJ,[]
δεινός,δεινὸν,ADJ,[]
δεινός,δεινόν,ADJ,[]
δεινός,δεινότατόν,ADJ,[]
δεύτερος,δευτέρῳ,ADJ,[]
δεῖ,δεῖ,VERB,[]
διά,διʼ,ADP,[]
διά,διὰ,ADP,[]
διάνοια,διανοίας,NOUN,[]
διάνοια,διάνοιαν,NOUN,[]
διάσταμι,διάστασιν,NOUN,[]
διαβάλλος,διαβάλλοντι,VERB,[]
διαβάλλω,διαβάλλειν,VERB,[]
διαβάλλω,διαβάλλων,VERB,[]
διαβάλλω,διαβάλλεσθαι,VERB,[]
διαβάλλω,διαβάλλοντας,VERB,[]
διαβάλλω,διαβληθείς,VERB,[]
διαβάλλω,διαβαλλόμενον,VERB,[]
διαβάλλω,διαβαλὼν,VERB,[]
διαβεβλάη,διαβεβλημένῳ,VERB,[]
διαβολή,διαβολῆς,NOUN,[]
διαβολή,διαβολὴ,NOUN,[]
διαβολή,διαβολαὶ,NOUN,[]
διαβολή,διαβολή,NOUN,[]
διαβολή,διαβολῇ,NOUN,[]
διαβολή,διαβολιᾶν,NOUN,[]
διαβολή,διαβολάς,NOUN,[]
διαβολή,διαβολὰς,NOUN,[]
διαβολή,διαβολὴν,NOUN,[]
διαβολία,διαβολία,NOUN,[]
διαβολία,διαβολίῃ,NOUN,[]
διαπλέκω,διαπλέκει,VERB,[]
διατρίβω,διατριβόντων,VERB,[]
διαφθείρω,διαφθείρεσθαι,VERB,[]
διευθύνω,διευθύνει,VERB,[]
δικάζω,δικάζοντας,VERB,[]
δικαιοσύνη,δικαιοσύνης,NOUN,[]
δικαστής,δικασταί,NOUN,[]
δοκέω,δοκεῖν,VERB,[]
δοκέω,δοκοῦντας,VERB,[]
δυνατός,δυνατὸν,ADJ,[]
δόλιος,δόλιον,ADJ,[]
δόξα,δόξαν,NOUN,[]
δύναμαι,δυνάμενος,VERB,[]
δύο,δύο,NUM,[]
εἰ,εἴ,SCONJ,[]
εἰμί,εἶναι,AUX,[]
εἰμί,ὄντα,AUX,[]
εἰμί,ὄντων,AUX,[]
εἰμί,ὂν,AUX,[]
εἰμί,ἐστὶν,AUX,[]
εἰμί,ἐστι,AUX,[]
εἰμί,ἐστὶ,AUX,[]
εἰμί,εἰσί,AUX,[]
εἰμί,εἴη,AUX,[]
εἰμί,οὖσα,AUX,[]
εἰμί,ἐστίν,AUX,[]
εἰμί,ἔστι,AUX,[]
εἰμί,ἔστιν,AUX,[]
εἰμί,ἐστιν,AUX,[]
εἰμί,ὄντες,AUX,[]
εἰς,ἐς,ADP,[]
εἰς,εἰς,ADP,[]
εἷς,εἷς,ADP,[]
εὐδοκιμέω,εὐδοκιμεῖν,VERB,[]
εὑρίσκω,εὕροι,VERB,[]
εὔνοια,εὐνοίας,NOUN,[]
εὖ,εὖ,ADV,[]
ζημία,ζημίαις,NOUN,[]
θήραμα,θήραμα,NOUN,[]
θαυμάζω,θαυμάζω,VERB,[]
θράσος,θράσεος,NOUN,[]
θυμός,θυμὸν,NOUN,[]
θυρωρός,θυρωρὸν,NOUN,[]
καί,καὶ,ADV,[]
καί,καὶ,CCONJ,[]
καίτοι,καίτοι,ADV,[]
