,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1.0,0.02,0.0,0.0,0.028,0.0,0.023,0.0,0.021,0.0,0.0,0.018,0.007,0.0,0.0,0.0,0.0,0.04,0.027,0.0,0.0,0.074,0.0,0.007,0.0,0.009
2,0.038,1.0,0.117,0.111,0.048,0.068,0.076,0.024,0.013,0.056,0.019,0.062,0.037,0.058,0.037,0.04,0.021,0.035,0.077,0.068,0.089,0.025,0.018,0.026,0.108,0.034
3,0.0,0.064,1.0,0.139,0.051,0.147,0.092,0.07,0.076,0.135,0.087,0.173,0.131,0.152,0.112,0.065,0.057,0.076,0.212,0.124,0.141,0.134,0.057,0.113,0.315,0.14
4,0.0,0.038,0.087,1.0,0.009,0.315,0.085,0.011,0.03,0.081,0.07,0.062,0.065,0.122,0.071,0.015,0.029,0.033,0.089,0.071,0.046,0.111,0.021,0.088,0.212,0.092
5,0.024,0.025,0.052,0.015,1.0,0.0,0.044,0.081,0.045,0.08,0.044,0.028,0.053,0.05,0.088,0.0,0.0,0.141,0.116,0.041,0.057,0.005,0.046,0.028,0.131,0.076
6,0.0,0.005,0.026,0.157,0.0,1.0,0.019,0.006,0.0,0.05,0.0,0.0,0.0,0.126,0.005,0.072,0.018,0.0,0.0,0.011,0.034,0.0,0.005,0.0,0.011,0.0
7,0.03,0.038,0.086,0.122,0.042,0.116,1.0,0.026,0.083,0.119,0.049,0.101,0.056,0.042,0.102,0.01,0.029,0.059,0.143,0.08,0.059,0.109,0.053,0.08,0.185,0.095
8,0.0,0.009,0.064,0.017,0.079,0.025,0.029,1.0,0.058,0.071,0.062,0.119,0.048,0.079,0.036,0.015,0.028,0.007,0.05,0.057,0.019,0.015,0.032,0.038,0.113,0.071
9,0.025,0.004,0.084,0.055,0.06,0.0,0.099,0.074,1.0,0.16,0.079,0.182,0.122,0.072,0.112,0.0,0.016,0.041,0.158,0.147,0.173,0.104,0.091,0.044,0.235,0.119
10,0.0,0.024,0.112,0.109,0.066,0.158,0.099,0.06,0.117,1.0,0.06,0.136,0.086,0.189,0.042,0.014,0.027,0.042,0.15,0.083,0.093,0.188,0.02,0.082,0.207,0.089
11,0.0,0.0,0.06,0.065,0.031,0.0,0.032,0.029,0.036,0.031,1.0,0.111,0.053,0.0,0.023,0.0,0.135,0.006,0.101,0.048,0.013,0.012,0.011,0.022,0.091,0.038
12,0.036,0.033,0.178,0.085,0.032,0.057,0.098,0.132,0.169,0.145,0.173,1.0,0.122,0.132,0.043,0.099,0.086,0.081,0.148,0.178,0.153,0.189,0.073,0.077,0.257,0.139
13,0.021,0.028,0.148,0.125,0.087,0.054,0.077,0.052,0.132,0.115,0.095,0.159,1.0,0.178,0.073,0.032,0.018,0.049,0.162,0.091,0.117,0.122,0.043,0.098,0.29,0.184
14,0.0,0.022,0.082,0.092,0.041,0.327,0.023,0.066,0.021,0.139,0.0,0.1,0.075,1.0,0.018,0.059,0.015,0.073,0.118,0.111,0.105,0.098,0.004,0.095,0.19,0.164
15,0.0,0.021,0.117,0.115,0.092,0.024,0.101,0.039,0.101,0.053,0.045,0.04,0.054,0.023,1.0,0.013,0.026,0.163,0.048,0.083,0.068,0.073,0.019,0.007,0.121,0.042
