,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1,0.011,0,0,0.055,0,0.046,0,0.042,0,0,0.007,0.014,0,0,0,0,0.079,0.054,0,0,0.148,0,0.015,0,0.019
2,0.031,1,0.144,0.187,0.068,0.136,0.141,0.047,0.025,0.112,0.039,0.107,0.049,0.116,0.055,0.079,0.043,0.069,0.144,0.122,0.105,0.051,0.036,0.053,0.166,0.061
3,0,0.075,1,0.163,0.101,0.295,0.156,0.09,0.115,0.181,0.175,0.248,0.186,0.222,0.182,0.074,0.055,0.104,0.311,0.16,0.166,0.154,0.046,0.153,0.351,0.179
4,0,0.063,0.118,1,0.019,0.432,0.115,0.021,0.046,0.085,0.14,0.065,0.071,0.123,0.078,0.03,0.058,0.035,0.119,0.08,0.061,0.12,0.043,0.111,0.253,0.118
5,0.048,0.032,0.105,0.031,1,0,0.066,0.103,0.09,0.16,0.089,0.056,0.06,0.1,0.129,0,0,0.185,0.196,0.081,0.069,0.01,0.052,0.026,0.192,0.109
6,0,0.01,0.053,0.177,0,1,0.039,0.013,0,0.1,0,0,0,0.15,0.011,0.145,0.035,0,0,0.022,0.067,0,0.011,0,0.023,0
7,0.06,0.068,0.141,0.13,0.055,0.231,1,0.053,0.082,0.186,0.098,0.125,0.062,0.06,0.093,0.02,0.058,0.097,0.195,0.091,0.067,0.084,0.078,0.128,0.229,0.107
8,0,0.019,0.096,0.033,0.102,0.049,0.057,1,0.077,0.106,0.041,0.157,0.031,0.085,0.073,0.029,0.055,0.015,0.042,0.113,0.039,0.029,0.063,0.04,0.147,0.118
9,0.049,0.009,0.141,0.082,0.121,0,0.121,0.095,1,0.187,0.093,0.216,0.153,0.081,0.123,0,0.032,0.056,0.2,0.186,0.239,0.145,0.139,0.055,0.307,0.151
10,0,0.047,0.156,0.11,0.131,0.316,0.163,0.087,0.132,1,0.04,0.147,0.093,0.269,0.062,0.028,0.054,0.061,0.175,0.106,0.138,0.247,0.04,0.108,0.239,0.111
11,0,0,0.12,0.129,0.062,0,0.064,0.013,0.045,0.016,1,0.121,0.041,0,0.046,0,0.269,0.013,0.141,0.068,0.026,0.024,0.023,0.045,0.141,0.076
12,0.033,0.051,0.281,0.103,0.064,0.113,0.141,0.177,0.199,0.168,0.203,1,0.13,0.187,0.059,0.198,0.171,0.084,0.179,0.199,0.226,0.305,0.118,0.118,0.345,0.202
13,0.042,0.035,0.226,0.14,0.114,0.109,0.106,0.043,0.182,0.15,0.095,0.187,1,0.238,0.091,0.063,0.036,0.083,0.172,0.129,0.155,0.191,0.087,0.095,0.362,0.247
14,0,0.044,0.121,0.086,0.082,0.474,0.031,0.071,0.024,0.217,0,0.126,0.096,1,0.009,0.119,0.029,0.053,0.126,0.118,0.106,0.151,0.009,0.115,0.191,0.197
15,0,0.029,0.199,0.132,0.138,0.047,0.122,0.078,0.115,0.081,0.09,0.06,0.067,0.012,1,0.027,0.053,0.182,0.075,0.101,0.086,0.112,0.039,0.015,0.167,0.066
16,0,0.01,0.023,0.021,0,0.245,0,0.013,0,0.015,0,0.045,0,0.064,0.011,1,0.035,0,0,0.022,0.066,0,0.011,0.054,0.01,0
17,0,0.003,0.045,0.038,0,0.057,0.04,0.023,0.018,0.027,0.185,0.073,0.015,0.015,0.021,0.033,1,0.019,0.032,0.047,0.045,0.037,0.029,0.021,0.066,0.044
18,0.081,0.039,0.123,0.066,0.157,0.047,0.132,0.022,0.066,0.084,0.051,0.09,0.067,0.081,0.14,0.027,0.06,1,0.058,0.088,0.091,0.121,0.044,0.02,0.158,0.071
19,0.074,0.08,0.286,0.135,0.167,0.041,0.224,0.046,0.177,0.178,0.17,0.21,0.114,0.182,0.077,0.024,0.061,0.04,1,0.149,0.172,0.142,0.073,0.252,0.371,0.208
20,0,0.07,0.163,0.085,0.1,0.126,0.081,0.116,0.149,0.111,0.093,0.219,0.093,0.227,0.104,0.073,0.055,0.075,0.157,1,0.249,0.125,0.104,0.119,0.289,0.241
21,0,0.039,0.149,0.07,0.048,0.211,0.09,0.025,0.198,0.123,0.05,0.207,0.093,0.093,0.064,0.122,0.067,0.065,0.147,0.204,1,0.123,0.045,0.039,0.195,0.064
22,0.088,0.017,0.115,0.122,0.019,0.051,0.098,0.023,0.089,0.186,0.054,0.166,0.096,0.181,0.068,0.03,0.064,0.07,0.124,0.102,0.098,1,0.047,0.108,0.202,0.114
23,0,0.015,0.07,0.066,0.058,0.047,0.113,0.064,0.088,0.047,0.051,0.116,0.068,0.012,0.036,0.027,0.06,0.036,0.075,0.124,0.061,0.067,1,0.046,0.175,0.117
24,0.036,0.037,0.16,0.176,0.057,0.051,0.126,0.059,0.043,0.138,0.12,0.174,0.08,0.214,0.021,0.209,0.064,0.021,0.26,0.145,0.084,0.168,0.064,1,0.306,0.151
25,0.023,0.079,0.29,0.281,0.207,0.189,0.198,0.132,0.203,0.215,0.178,0.302,0.23,0.259,0.131,0.084,0.105,0.138,0.305,0.211,0.193,0.186,0.156,0.217,1,0.287
26,0.026,0.02,0.167,0.114,0.15,0,0.099,0.124,0.105,0.081,0.097,0.218,0.209,0.309,0.05,0,0.037,0.05,0.196,0.22,0.062,0.09,0.103,0.107,0.369,1
