,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1.0,0.124,0.0,0.0,0.1849,0.4714,0.0983,0.0,0.0,0.0925,0.0,0.0404,0.0476,0.0,0.0,0.1925,0.0,0.0,0.1438,0.0,0.0,0.0,0.0,0.0,0.1174,0.0251
2,0.124,1.0,0.0469,0.0,0.0,0.0877,0.1097,0.0374,0.0439,0.1376,0.0877,0.0902,0.1595,0.1601,0.0663,0.3581,0.0,0.0663,0.1204,0.1061,0.0,0.0,0.0331,0.0425,0.1311,0.0746
3,0.0,0.0469,1.0,0.0,0.0349,0.0,0.1115,0.114,0.0668,0.0699,0.0,0.3361,0.144,0.0976,0.0337,0.0,0.0,0.202,0.1766,0.1539,0.0,0.042,0.1347,0.108,0.1838,0.2746
4,0.0,0.0,0.0,1.0,0.0,0.0,0.1043,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0864,0.0,0.0,0.0,0.0,0.0712,0.0266
5,0.1849,0.0,0.0349,0.0,1.0,0.0,0.0409,0.0,0.0,0.0,0.0,0.0336,0.0396,0.0,0.0741,0.0,0.0,0.0,0.0299,0.0,0.0,0.0,0.0,0.0,0.0977,0.0
6,0.4714,0.0877,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0983,0.1097,0.1115,0.1043,0.0409,0.0,1.0,0.0445,0.0782,0.0409,0.0521,0.0894,0.2106,0.0,0.0,0.1703,0.1703,0.0394,0.0954,0.1261,0.1106,0.1474,0.1576,0.1264,0.2448,0.2771
8,0.0,0.0374,0.114,0.0,0.0,0.0,0.0445,1.0,0.0533,0.0836,0.0,0.1097,0.0,0.0778,0.0,0.0,0.0,0.0806,0.1301,0.221,0.0,0.1005,0.0806,0.0,0.182,0.1586
9,0.0,0.0439,0.0668,0.0,0.0,0.0,0.0782,0.0533,1.0,0.0,0.125,0.1715,0.0505,0.0456,0.0472,0.0,0.0,0.2362,0.0381,0.108,0.0442,0.0,0.0945,0.2122,0.1512,0.1462
10,0.0925,0.1376,0.0699,0.0,0.0,0.0,0.0409,0.0836,0.0,1.0,0.0,0.0336,0.0792,0.0716,0.0,0.1601,0.0,0.0,0.0598,0.0339,0.0,0.0,0.0,0.0,0.1256,0.0
11,0.0,0.0877,0.0,0.0,0.0,0.0,0.0521,0.0,0.125,0.0,1.0,0.0429,0.101,0.0,0.0,0.0,0.0,0.0,0.0381,0.0432,0.0884,0.0,0.0,0.0,0.0712,0.0531
12,0.0404,0.0902,0.3361,0.0,0.0336,0.0,0.0894,0.1097,0.1715,0.0336,0.0429,1.0,0.1213,0.0626,0.0648,0.0,0.0,0.1945,0.1961,0.163,0.0303,0.1213,0.1621,0.1456,0.2319,0.2188
13,0.0476,0.1595,0.144,0.101,0.0396,0.0,0.2106,0.0,0.0505,0.0792,0.101,0.1213,1.0,0.0738,0.0382,0.0,0.165,0.0,0.0462,0.1396,0.0,0.0,0.0,0.0245,0.2372,0.3007
14,0.0,0.1601,0.0976,0.0,0.0,0.0,0.0,0.0778,0.0456,0.0716,0.0,0.0626,0.0738,1.0,0.0,0.0,0.0,0.069,0.0,0.0315,0.0,0.0,0.0,0.1328,0.1819,0.0582
15,0.0,0.0663,0.0337,0.0,0.0741,0.0,0.0,0.0,0.0472,0.0,0.0,0.0648,0.0382,0.0,1.0,0.0,0.0,0.0714,0.1153,0.0653,0.0668,0.0,0.0,0.0917,0.1076,0.0
16,0.1925,0.3581,0.0,0.0,0.0,0.0,0.1703,0.0,0.0,0.1601,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1245,0.1411,0.0,0.0,0.0,0.0,0.029,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.1703,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.0,1.0,0.0,0.0,0.2821,0.0,0.0,0.0,0.0,0.2324,0.2604
18,0.0,0.0663,0.202,0.0,0.0,0.0,0.0394,0.0806,0.2362,0.0,0.0,0.1945,0.0,0.069,0.0714,0.0,0.0,1.0,0.0288,0.098,0.0668,0.0,0.1429,0.1375,0.1748,0.1406
19,0.1438,0.1204,0.1766,0.0,0.0299,0.1525,0.0954,0.1301,0.0381,0.0598,0.0381,0.1961,0.0462,0.0,0.1153,0.1245,0.0,0.0288,1.0,0.224,0.0539,0.1078,0.0288,0.1664,0.3581,0.2188
20,0.0,0.1061,0.1539,0.0864,0.0,0.0,0.1261,0.221,0.108,0.0339,0.0432,0.163,0.1396,0.0315,0.0653,0.1411,0.2821,0.098,0.224,1.0,0.0611,0.0,0.1306,0.0629,0.3258,0.3673
21,0.0,0.0,0.0,0.0,0.0,0.0,0.1106,0.0,0.0442,0.0,0.0884,0.0303,0.0,0.0,0.0668,0.0,0.0,0.0668,0.0539,0.0611,1.0,0.0833,0.0,0.0429,0.0377,0.0376
22,0.0,0.0,0.042,0.0,0.0,0.0,0.1474,0.1005,0.0,0.0,0.0,0.1213,0.0,0.0,0.0,0.0,0.0,0.0,0.1078,0.0,0.0833,1.0,0.0,0.1143,0.2013,0.1754
23,0.0,0.0331,0.1347,0.0,0.0,0.0,0.1576,0.0806,0.0945,0.0,0.0,0.1621,0.0,0.0,0.0,0.0,0.0,0.1429,0.0288,0.1306,0.0,0.0,1.0,0.1833,0.1614,0.0603
24,0.0,0.0425,0.108,0.0,0.0,0.0,0.1264,0.0,0.2122,0.0,0.0,0.1456,0.0245,0.1328,0.0917,0.0,0.0,0.1375,0.1664,0.0629,0.0429,0.1143,0.1833,1.0,0.2761,0.0902
25,0.1174,0.1311,0.1838,0.0712,0.0977,0.0,0.2448,0.182,0.1512,0.1256,0.0712,0.2319,0.2372,0.1819,0.1076,0.029,0.2324,0.1748,0.3581,0.3258,0.0377,0.2013,0.1614,0.2761,1.0,0.4349
26,0.0251,0.0746,0.2746,0.0266,0.0,0.0,0.2771,0.1586,0.1462,0.0,0.0531,0.2188,0.3007,0.0582,0.0,0.0,0.2604,0.1406,0.2188,0.3673,0.0376,0.1754,0.0603,0.0902,0.4349,1.0
