,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,3.1013,0.2017,0.0916,0.1303,0.208,0.0642,0.0912,0.1025,0.135,0.0507,0.1301,0.1387,0.1342,0.0688,0.1021,0.3581,0.1125,0.1635,0.1493,0.1499,0.0363,0.1326,0.084,0.1352,0.1267,0.1627
2,0.2268,3.1013,0.3548,0.2592,0.2378,0.2033,0.2754,0.1614,0.1198,0.1416,0.1646,0.2168,0.2589,0.2119,0.2082,0.3155,0.1372,0.1901,0.2197,0.204,0.1527,0.1146,0.1283,0.249,0.2727,0.1772
3,0.0916,0.2858,3.1013,0.3097,0.1668,0.2886,0.3229,0.2635,0.2499,0.3093,0.1678,0.4402,0.3452,0.2841,0.2685,0.1809,0.1745,0.2168,0.4443,0.3437,0.2995,0.3369,0.2636,0.3912,0.5602,0.3327
4,0.1303,0.1767,0.2372,3.1013,0.1737,0.524,0.2267,0.1807,0.1635,0.1804,0.1693,0.2083,0.1675,0.2916,0.2459,0.1255,0.1855,0.2028,0.2287,0.2032,0.1379,0.2534,0.14,0.229,0.3946,0.1957
5,0.2043,0.2111,0.1689,0.1801,3.1013,0.1192,0.1494,0.2115,0.1242,0.1859,0.1617,0.1579,0.1524,0.1404,0.2352,0.1519,0.1627,0.2973,0.2132,0.1359,0.1551,0.08,0.1744,0.1334,0.234,0.1971
6,0.0642,0.1369,0.161,0.3382,0.1192,3.1013,0.127,0.1181,0.0898,0.1143,0.1217,0.0923,0.0804,0.3058,0.1165,0.2866,0.2028,0.1229,0.1086,0.095,0.0972,0.0704,0.1248,0.1336,0.1037,0.076
7,0.0986,0.2352,0.3167,0.286,0.1496,0.2283,3.1013,0.2211,0.2374,0.1942,0.1385,0.3104,0.1986,0.1304,0.3212,0.1156,0.1418,0.2725,0.3413,0.3643,0.2317,0.2357,0.2395,0.2529,0.4004,0.2236
8,0.1025,0.1466,0.2521,0.187,0.2067,0.1371,0.2232,3.1013,0.2139,0.197,0.2275,0.3575,0.2211,0.2577,0.2252,0.1437,0.1715,0.1504,0.2402,0.2079,0.1128,0.145,0.1528,0.1809,0.284,0.229
9,0.1387,0.1113,0.2551,0.1945,0.1405,0.0898,0.2528,0.2346,3.1013,0.3527,0.1916,0.5007,0.279,0.2257,0.2448,0.0959,0.12,0.2056,0.4113,0.3585,0.317,0.2035,0.2369,0.3324,0.4522,0.2776
10,0.0507,0.1073,0.2773,0.2209,0.1706,0.2283,0.1667,0.1853,0.2988,3.1013,0.1211,0.367,0.2351,0.4231,0.1208,0.0951,0.0787,0.0979,0.3339,0.1576,0.2916,0.4637,0.1905,0.1295,0.3461,0.1624
