,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,3.3668,0.1868,0.0916,0.1303,0.208,0.0642,0.0912,0.1025,0.135,0.0507,0.1301,0.1238,0.1342,0.0688,0.1021,0.5081,0.1125,0.1635,0.1493,0.1499,0.0363,0.1326,0.084,0.1352,0.1267,0.1627
2,0.2032,3.3668,0.3398,0.2417,0.2239,0.2033,0.2886,0.1614,0.1198,0.1416,0.1646,0.208,0.2815,0.2419,0.1979,0.3825,0.1372,0.1901,0.2146,0.1968,0.1152,0.1146,0.1283,0.269,0.2475,0.197
3,0.0916,0.2904,3.3668,0.2511,0.1668,0.2886,0.3251,0.2383,0.2496,0.2636,0.1678,0.4157,0.3228,0.242,0.247,0.1527,0.1437,0.1921,0.4239,0.3413,0.2404,0.2783,0.2292,0.4257,0.4426,0.3114
4,0.1303,0.1695,0.2079,3.3668,0.1737,0.4228,0.199,0.1807,0.1564,0.1413,0.1693,0.1775,0.1372,0.2289,0.213,0.1255,0.1855,0.1874,0.1984,0.1719,0.122,0.2005,0.14,0.1956,0.3236,0.1617
5,0.2043,0.2018,0.1689,0.1801,3.3668,0.1192,0.1376,0.1807,0.1242,0.1859,0.1617,0.1579,0.1283,0.1404,0.2105,0.1519,0.1627,0.248,0.1952,0.1359,0.1325,0.08,0.1538,0.1185,0.1981,0.175
6,0.0642,0.1369,0.161,0.2678,0.1192,3.3668,0.127,0.1181,0.0898,0.1143,0.1217,0.0923,0.0804,0.2539,0.1165,0.2866,0.2028,0.1229,0.1086,0.095,0.0972,0.0704,0.1248,0.1336,0.1037,0.076
7,0.0986,0.2494,0.3178,0.2275,0.1342,0.2283,3.3668,0.2592,0.1948,0.167,0.1385,0.287,0.1729,0.1175,0.2647,0.1156,0.1418,0.2623,0.3102,0.3815,0.2682,0.1674,0.2584,0.2369,0.3589,0.1815
8,0.1025,0.1466,0.2356,0.187,0.1785,0.1371,0.2613,3.3668,0.1934,0.179,0.1844,0.3442,0.1877,0.2207,0.2252,0.1437,0.1715,0.1504,0.239,0.2401,0.1128,0.145,0.1528,0.1629,0.2573,0.2398
9,0.1387,0.1113,0.2599,0.1801,0.1405,0.0898,0.2133,0.2073,3.3668,0.2849,0.1582,0.4772,0.2317,0.1938,0.1934,0.0959,0.12,0.2308,0.3857,0.3422,0.262,0.1711,0.2154,0.4125,0.3859,0.2329
10,0.0507,0.1073,0.2429,0.1655,0.1706,0.2283,0.1487,0.1683,0.2459,3.3668,0.0795,0.3299,0.194,0.4229,0.109,0.0951,0.0787,0.086,0.2955,0.156,0.2664,0.3974,0.1905,0.1013,0.2694,0.128
11,0.1301,0.144,0.1387,0.1635,0.1475,0.1217,0.1206,0.1563,0.1199,0.0548,3.3668,0.1958,0.236,0.1602,0.1499,0.1415,0.2865,0.1313,0.2012,0.1248,0.037,0.0664,0.0785,0.202,0.2039,0.1459
12,0.1406,0.1778,0.4249,0.1999,0.1621,0.1519,0.2886,0.3565,0.4651,0.3403,0.2538,3.3668,0.3269,0.2555,0.3027,0.1892,0.1949,0.1999,0.3901,0.3486,0.299,0.3919,0.2302,0.2456,0.4864,0.3052
13,0.149,0.2727,0.3418,0.1911,0.1612,0.1379,0.1957,0.193,0.2432,0.224,0.2747,0.3628,3.3668,0.3382,0.1882,0.1409,0.1011,0.1415,0.2963,0.2185,0.2307,0.2609,0.1444,0.2109,0.455,0.4357
14,0.0688,0.2039,0.1757,0.2012,0.1309,0.4519,0.0988,0.2092,0.149,0.3787,0.1602,0.2219,0.2418,3.3668,0.1905,0.2157,0.1333,0.1877,0.2342,0.1622,0.2111,0.2133,0.163,0.203,0.3344,0.4115
15,0.1021,0.1815,0.2535,0.2531,0.2146,0.1355,0.2697,0.2278,0.1847,0.1197,0.1731,0.3009,0.1707,0.1941,3.3668,0.1356,0.18,0.4851,0.172,0.2092,0.1244,0.1813,0.1463,0.1516,0.2105,0.1342
16,0.5081,0.3462,0.1134,0.1208,0.1519,0.3394,0.105,0.1353,0.0959,0.0882,0.1415,0.1085,0.1077,0.1867,0.1272,3.3668,0.2247,0.128,0.0982,0.0877,0.1106,0.1166,0.1368,0.1765,0.0797,0.0986
17,0.1125,0.1161,0.1243,0.175,0.1627,0.2144,0.1323,0.1546,0.1126,0.0645,0.2422,0.1432,0.09,0.1259,0.1631,0.2203,3.3668,0.1642,0.0748,0.2621,0.1047,0.1078,0.1706,0.1366,0.1951,0.1228
18,0.1645,0.1742,0.1967,0.2095,0.2206,0.1477,0.279,0.1541,0.2371,0.0989,0.1513,0.1958,0.1317,0.2103,0.4517,0.1423,0.1975,3.3668,0.1794,0.2994,0.1065,0.1489,0.142,0.2545,0.2527,0.1641
19,0.1599,0.1808,0.4005,0.2113,0.1854,0.1303,0.322,0.2408,0.3629,0.2888,0.2274,0.4122,0.2585,0.2795,0.1765,0.1108,0.1065,0.1815,3.3668,0.3744,0.2282,0.1881,0.1522,0.5665,0.635,0.3462
20,0.1499,0.1687,0.3398,0.1886,0.146,0.1499,0.3789,0.2417,0.3206,0.16,0.1438,0.3721,0.1978,0.2467,0.2183,0.1146,0.2663,0.2984,0.379,3.3668,0.2721,0.1039,0.1179,0.304,0.5383,0.4689
