,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,3.1024,0.226,0.1099,0.1564,0.2437,0.0771,0.1046,0.123,0.1576,0.0609,0.1561,0.1508,0.1596,0.0825,0.1226,0.4298,0.135,0.1878,0.1735,0.1799,0.0436,0.1435,0.1009,0.1606,0.152,0.1933
2,0.2453,3.1024,0.3643,0.2739,0.2643,0.2297,0.3099,0.1887,0.1411,0.1581,0.1934,0.2401,0.2926,0.2421,0.2338,0.3702,0.1601,0.2208,0.2433,0.2248,0.1346,0.1322,0.1502,0.2933,0.2845,0.2031
3,0.1099,0.3084,3.1024,0.2959,0.1895,0.3152,0.3561,0.2815,0.2683,0.3064,0.1828,0.4517,0.3561,0.2754,0.2815,0.181,0.1728,0.2245,0.4423,0.3498,0.2828,0.3294,0.2771,0.4157,0.4919,0.328
4,0.1564,0.1982,0.2429,3.1024,0.2065,0.4821,0.2322,0.2146,0.1842,0.1684,0.1884,0.2123,0.1632,0.2743,0.2539,0.1475,0.2165,0.2242,0.2316,0.2041,0.1431,0.2385,0.1635,0.2297,0.359,0.1884
5,0.2401,0.2407,0.1916,0.2128,3.1024,0.143,0.1605,0.2121,0.1395,0.2062,0.1847,0.1835,0.1525,0.1579,0.244,0.1823,0.1952,0.288,0.2171,0.1546,0.1563,0.0949,0.1832,0.1425,0.2246,0.2029
6,0.0771,0.1632,0.1876,0.3167,0.143,3.1024,0.1483,0.1403,0.1078,0.1267,0.1461,0.1108,0.0964,0.2993,0.1387,0.3287,0.2397,0.1475,0.1304,0.1117,0.1096,0.0845,0.1486,0.1603,0.122,0.0912
7,0.112,0.2704,0.3492,0.271,0.1583,0.2496,3.1024,0.2597,0.2336,0.1862,0.1559,0.3203,0.206,0.1373,0.3191,0.1366,0.164,0.3065,0.3427,0.3927,0.2442,0.2056,0.2643,0.274,0.3839,0.2149
8,0.123,0.1739,0.2759,0.221,0.2091,0.1593,0.2618,3.1024,0.2281,0.2073,0.2256,0.3703,0.2287,0.2633,0.2625,0.1694,0.2,0.1789,0.2546,0.2375,0.1313,0.1709,0.1768,0.1949,0.2842,0.25
9,0.1613,0.1327,0.2769,0.2104,0.1559,0.1078,0.2511,0.2442,3.1024,0.3357,0.1867,0.502,0.2714,0.2304,0.2294,0.1151,0.1406,0.2279,0.4128,0.3551,0.3002,0.1965,0.2481,0.3757,0.4266,0.2725
10,0.0609,0.1238,0.2819,0.198,0.1909,0.2406,0.1649,0.1962,0.2918,3.1024,0.0995,0.3613,0.2312,0.4233,0.1266,0.1111,0.0888,0.0992,0.318,0.1466,0.3102,0.4641,0.2244,0.1158,0.3002,0.1488
11,0.1561,0.1728,0.1538,0.1826,0.1705,0.1461,0.1379,0.1908,0.1419,0.0688,3.1024,0.2325,0.2351,0.1922,0.1751,0.1698,0.3154,0.1562,0.2328,0.1453,0.0416,0.0771,0.0918,0.2376,0.234,0.1671
12,0.1691,0.2095,0.4568,0.2359,0.1878,0.1704,0.3184,0.3834,0.4884,0.3713,0.2979,3.1024,0.3727,0.2948,0.3291,0.2062,0.2158,0.239,0.4063,0.3819,0.3433,0.4072,0.2668,0.2662,0.5152,0.33
13,0.1743,0.2832,0.3741,0.2258,0.1876,0.1539,0.2287,0.2335,0.281,0.2612,0.279,0.4115,3.1024,0.3561,0.2219,0.1625,0.1175,0.1626,0.3531,0.2346,0.2687,0.2985,0.1641,0.2535,0.5041,0.4391
14,0.0825,0.2041,0.2026,0.2424,0.1484,0.5107,0.1168,0.2498,0.1783,0.3707,0.1922,0.2605,0.2488,3.1024,0.2305,0.2463,0.1569,0.2292,0.2791,0.1929,0.2528,0.2446,0.1946,0.2391,0.3563,0.4151
15,0.1226,0.2159,0.2868,0.2999,0.2477,0.1577,0.319,0.2652,0.2185,0.1377,0.1983,0.326,0.202,0.2352,3.1024,0.1599,0.2104,0.511,0.2006,0.247,0.1455,0.2092,0.1715,0.1804,0.2427,0.1559
16,0.4298,0.3338,0.1356,0.1427,0.1823,0.3814,0.126,0.161,0.1151,0.1043,0.1698,0.1255,0.1293,0.2173,0.1515,3.1024,0.278,0.1536,0.1178,0.103,0.1306,0.147,0.1674,0.2103,0.0946,0.1183
17,0.135,0.139,0.1464,0.2059,0.1952,0.2513,0.1545,0.1832,0.1332,0.0745,0.2711,0.1641,0.1064,0.1495,0.1935,0.2718,3.1024,0.2044,0.0898,0.2354,0.1258,0.1326,0.2106,0.1617,0.197,0.1486
18,0.1889,0.205,0.2263,0.2493,0.2542,0.1723,0.3224,0.1826,0.2347,0.1123,0.1762,0.2314,0.1521,0.2558,0.4719,0.1679,0.2435,3.1024,0.2138,0.3205,0.1234,0.1694,0.1758,0.2605,0.2795,0.1957
19,0.184,0.2096,0.4137,0.2467,0.2101,0.152,0.3529,0.2562,0.3848,0.3072,0.2645,0.4314,0.3117,0.3323,0.2068,0.1305,0.1297,0.2217,3.1024,0.3836,0.2666,0.2149,0.178,0.5677,0.6669,0.3873
20,0.1799,0.1963,0.3468,0.2278,0.1646,0.1665,0.3915,0.2391,0.3325,0.1513,0.1673,0.412,0.2131,0.291,0.2598,0.1299,0.2396,0.3224,0.3883,3.1024,0.2815,0.1222,0.1305,0.3372,0.5779,0.5437
21,0.0436,0.0844,0.2687,0.1551,0.1426,0.1856,0.2481,0.1239,0.2683,0.3028,0.0543,0.3379,0.2232,0.2547,0.1323,0.1796,0.161,0.1081,0.2406,0.2449,3.1024,0.4596,0.2619,0.063,0.2767,0.1597
22,0.1118,0.1143,0.2786,0.2457,0.0997,0.1114,0.1899,0.1677,0.1577,0.4181,0.0929,0.3164,0.2387,0.2804,0.1808,0.1767,0.1648,0.1374,0.2095,0.091,0.4289,3.1024,0.2754,0.1598,0.3243,0.1562
23,0.1009,0.1391,0.2903,0.1756,0.1864,0.1676,0.2791,0.1773,0.2176,0.2281,0.1066,0.2622,0.154,0.1962,0.1699,0.199,0.2804,0.1875,0.1775,0.141,0.2749,0.2947,3.1024,0.1184,0.2328,0.2273
24,0.1717,0.2848,0.4164,0.2768,0.1645,0.1872,0.274,0.2141,0.3606,0.1296,0.2772,0.3179,0.2332,0.3185,0.1835,0.3301,0.1844,0.261,0.5791,0.3494,0.0903,0.1894,0.1279,3.1024,0.6893,0.3384
25,0.1641,0.2258,0.4156,0.3723,0.2269,0.2096,0.3403,0.2747,0.3358,0.2603,0.2622,0.4813,0.3913,0.3947,0.218,0.1336,0.2283,0.2762,0.59,0.4942,0.2654,0.2995,0.2125,0.5987,3.1024,0.5775
26,0.197,0.181,0.3155,0.1868,0.2276,0.0912,0.2066,0.2578,0.2354,0.1232,0.1782,0.3446,0.4082,0.4983,0.1505,0.1183,0.1655,0.1918,0.3733,0.5208,0.1658,0.142,0.2194,0.3039,0.6634,3.1024
