,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2.333,0.2686,0.0916,0.1303,0.208,0.3142,0.0912,0.1025,0.135,0.0998,0.1301,0.1604,0.1342,0.0688,0.1021,0.2102,0.1125,0.1635,0.1899,0.1499,0.0363,0.1326,0.084,0.1352,0.1365,0.1627
2,0.2937,2.333,0.3206,0.2592,0.2378,0.2506,0.2735,0.1614,0.1198,0.1601,0.1646,0.2496,0.2695,0.2482,0.2261,0.3965,0.1372,0.2079,0.2427,0.2401,0.1527,0.1146,0.1283,0.2272,0.31,0.1699
3,0.0916,0.2516,2.333,0.3097,0.1668,0.2886,0.3261,0.285,0.2433,0.3093,0.1678,0.4499,0.3611,0.321,0.2685,0.1809,0.1745,0.255,0.4062,0.3004,0.2995,0.3607,0.2827,0.3201,0.5613,0.3734
4,0.1303,0.1767,0.2372,2.333,0.1737,0.524,0.2821,0.1807,0.1635,0.1804,0.1693,0.2083,0.1675,0.2916,0.2459,0.1255,0.1855,0.2028,0.2287,0.2285,0.1379,0.2534,0.14,0.229,0.377,0.1957
5,0.2043,0.2111,0.1689,0.1801,2.333,0.1192,0.1494,0.2115,0.1242,0.1859,0.1617,0.1579,0.1524,0.1404,0.2352,0.1519,0.1627,0.2973,0.2132,0.1359,0.1551,0.08,0.1744,0.1334,0.2423,0.1971
6,0.3142,0.1841,0.161,0.3382,0.1192,2.333,0.127,0.1181,0.0898,0.1143,0.1217,0.0923,0.0804,0.3058,0.1165,0.2866,0.2028,0.1229,0.1947,0.095,0.0972,0.0704,0.1248,0.1336,0.1037,0.076
7,0.0986,0.2333,0.3199,0.3413,0.1496,0.2283,2.333,0.1812,0.2374,0.1942,0.1385,0.323,0.2219,0.1304,0.3212,0.1156,0.1869,0.2725,0.352,0.3303,0.185,0.2617,0.2458,0.2797,0.4099,0.267
8,0.1025,0.1466,0.2737,0.187,0.2067,0.1371,0.1833,2.333,0.2139,0.197,0.2275,0.329,0.2211,0.2577,0.2252,0.1437,0.1715,0.1504,0.2118,0.1757,0.1128,0.145,0.1528,0.1809,0.2868,0.2347
9,0.1387,0.1113,0.2484,0.1945,0.1405,0.0898,0.2528,0.2346,2.333,0.3527,0.1916,0.4939,0.3069,0.2257,0.2448,0.0959,0.12,0.1923,0.3762,0.3439,0.3404,0.2035,0.2369,0.2342,0.4861,0.3123
10,0.0998,0.1258,0.2773,0.2209,0.1706,0.2283,0.1667,0.1853,0.2988,2.333,0.1211,0.3408,0.257,0.3681,0.1208,0.18,0.0787,0.0979,0.3078,0.128,0.2916,0.4637,0.1905,0.1295,0.3404,0.1624
11,0.1301,0.144,0.1387,0.1635,0.1475,0.1217,0.1206,0.1794,0.1338,0.0784,2.333,0.2472,0.1853,0.1602,0.1499,0.1415,0.2865,0.1313,0.254,0.1387,0.0839,0.0664,0.0785,0.202,0.2249,0.1459
12,0.1818,0.2184,0.4467,0.2344,0.1621,0.1519,0.3143,0.3438,0.4772,0.3502,0.3273,2.333,0.3659,0.295,0.2657,0.1892,0.1949,0.2399,0.3884,0.4035,0.3406,0.3654,0.28,0.265,0.536,0.342
13,0.149,0.2587,0.3771,0.2476,0.1921,0.1379,0.2442,0.2249,0.3128,0.287,0.2395,0.4105,2.333,0.3374,0.2164,0.1409,0.1468,0.1492,0.393,0.2561,0.2718,0.2887,0.1444,0.2628,0.5887,0.4446
14,0.0688,0.2102,0.2352,0.2516,0.1309,0.5443,0.1065,0.2401,0.1588,0.2987,0.1602,0.2594,0.2086,2.333,0.2049,0.2157,0.1333,0.2721,0.2908,0.2156,0.2645,0.2359,0.163,0.3114,0.4018,0.3578
15,0.1021,0.2055,0.2715,0.3035,0.2382,0.1355,0.3108,0.2278,0.2294,0.1325,0.1731,0.2602,0.1918,0.2116,2.333,0.1356,0.18,0.4486,0.1986,0.2421,0.1506,0.1987,0.1463,0.1759,0.2728,0.1434
16,0.2102,0.3601,0.1232,0.1208,0.1519,0.3394,0.105,0.1353,0.0959,0.1731,0.1415,0.1085,0.1077,0.1867,0.1272,2.333,0.2848,0.128,0.0982,0.129,0.1347,0.152,0.1589,0.1975,0.0968,0.0986
17,0.1125,0.1161,0.1341,0.175,0.1627,0.2144,0.1774,0.1546,0.1126,0.0645,0.2422,0.1432,0.1357,0.1259,0.1631,0.2752,2.333,0.2109,0.0917,0.1799,0.1289,0.1433,0.2153,0.1366,0.2045,0.2087
18,0.1645,0.1921,0.2513,0.2337,0.2509,0.1477,0.2867,0.1541,0.2002,0.1117,0.1513,0.2251,0.1374,0.3065,0.3982,0.1423,0.2617,2.333,0.2025,0.2855,0.1327,0.1664,0.1923,0.1837,0.2998,0.2478
19,0.2004,0.209,0.3673,0.2483,0.2116,0.2163,0.3587,0.2131,0.3375,0.2888,0.2967,0.4193,0.3445,0.3597,0.2082,0.1108,0.1481,0.2221,2.333,0.3524,0.3131,0.2087,0.1676,0.4571,0.685,0.4611
20,0.1499,0.2109,0.2943,0.2663,0.146,0.1499,0.3319,0.1773,0.3192,0.134,0.1664,0.4466,0.2328,0.3408,0.2625,0.1559,0.1841,0.2932,0.3574,2.333,0.285,0.1573,0.1561,0.3022,0.6052,0.6289
21,0.0363,0.0922,0.2819,0.1546,0.1398,0.1732,0.1834,0.1055,0.3017,0.2845,0.0965,0.3383,0.2177,0.2722,0.1365,0.1968,0.1799,0.1164,0.2785,0.2399,2.333,0.3931,0.2534,0.0611,0.303,0.1361
22,0.1009,0.0967,0.2896,0.2647,0.0847,0.0973,0.2306,0.1418,0.1585,0.4084,0.0822,0.263,0.2223,0.2851,0.167,0.191,0.1875,0.1309,0.206,0.1135,0.3508,2.333,0.2503,0.2226,0.382,0.1861
23,0.084,0.1172,0.2962,0.1521,0.1775,0.1438,0.2583,0.1534,0.204,0.1942,0.0933,0.273,0.1343,0.1646,0.1448,0.2058,0.3207,0.2146,0.1661,0.1666,0.2696,0.2754,2.333,0.127,0.3018,0.2481
24,0.1462,0.2188,0.3186,0.2847,0.1592,0.1605,0.2804,0.2063,0.2133,0.1419,0.2415,0.3314,0.2343,0.409,0.1791,0.3426,0.1593,0.1842,0.4733,0.3133,0.0908,0.2508,0.1365,2.333,0.6849,0.3422
25,0.1487,0.2427,0.4555,0.3892,0.2407,0.1913,0.3482,0.2763,0.3713,0.2824,0.259,0.4945,0.4472,0.4419,0.2444,0.1358,0.243,0.3012,0.5799,0.493,0.2849,0.3462,0.2747,0.5652,2.333,0.6162
26,0.1664,0.1474,0.3568,0.1944,0.2239,0.076,0.2559,0.2456,0.2666,0.1303,0.157,0.3607,0.4066,0.4571,0.1401,0.0986,0.2393,0.2487,0.442,0.5981,0.147,0.1708,0.2399,0.3002,0.7305,2.333
