,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2.1375,0.2938,0.0916,0.1303,0.208,0.4642,0.0912,0.1025,0.135,0.1292,0.1301,0.1586,0.1342,0.0688,0.1021,0.2715,0.1125,0.1635,0.2142,0.1499,0.0363,0.1326,0.084,0.1352,0.1424,0.1627
2,0.3101,2.1375,0.2852,0.2417,0.2239,0.2789,0.2856,0.1614,0.1198,0.1712,0.1646,0.2606,0.2985,0.3,0.2265,0.5123,0.1372,0.2187,0.2514,0.2545,0.1152,0.1146,0.1283,0.2341,0.3072,0.1853
3,0.0916,0.2358,2.1375,0.2511,0.1668,0.2886,0.3301,0.2728,0.239,0.2636,0.1678,0.4312,0.3482,0.3011,0.247,0.1527,0.1437,0.2533,0.3629,0.272,0.2404,0.3164,0.2598,0.312,0.4443,0.3766
4,0.1303,0.1695,0.2079,2.1375,0.1737,0.4228,0.2875,0.1807,0.1564,0.1413,0.1693,0.1775,0.1372,0.2289,0.213,0.1255,0.1855,0.1874,0.1984,0.2124,0.122,0.2005,0.14,0.1956,0.2955,0.1617
5,0.2043,0.2018,0.1689,0.1801,2.1375,0.1192,0.1376,0.1807,0.1242,0.1859,0.1617,0.1579,0.1283,0.1404,0.2105,0.1519,0.1627,0.248,0.1952,0.1359,0.1325,0.08,0.1538,0.1185,0.2112,0.175
6,0.4642,0.2125,0.161,0.2678,0.1192,2.1375,0.127,0.1181,0.0898,0.1143,0.1217,0.0923,0.0804,0.2539,0.1165,0.2866,0.2028,0.1229,0.2463,0.095,0.0972,0.0704,0.1248,0.1336,0.1037,0.076
7,0.0986,0.2464,0.3229,0.316,0.1342,0.2283,2.1375,0.1953,0.1948,0.167,0.1385,0.307,0.2102,0.1175,0.2647,0.1156,0.214,0.2623,0.3273,0.327,0.1935,0.209,0.2685,0.2799,0.3741,0.2509
8,0.1025,0.1466,0.2702,0.187,0.1785,0.1371,0.1975,2.1375,0.1934,0.179,0.1844,0.2986,0.1877,0.2207,0.2252,0.1437,0.1715,0.1504,0.1936,0.1886,0.1128,0.145,0.1528,0.1629,0.2617,0.249
9,0.1387,0.1113,0.2492,0.1801,0.1405,0.0898,0.2133,0.2073,2.1375,0.2849,0.1582,0.4663,0.2764,0.1938,0.1934,0.0959,0.12,0.2095,0.3295,0.3187,0.2995,0.1711,0.2154,0.2553,0.44,0.2884
10,0.1292,0.1369,0.2429,0.1655,0.1706,0.2283,0.1487,0.1683,0.2459,2.1375,0.0795,0.288,0.229,0.3348,0.109,0.2309,0.0787,0.086,0.2537,0.1085,0.2664,0.3974,0.1905,0.1013,0.2604,0.128
11,0.1301,0.144,0.1387,0.1635,0.1475,0.1217,0.1206,0.1563,0.1199,0.0548,2.1375,0.1958,0.1687,0.1602,0.1499,0.1415,0.2865,0.1313,0.2356,0.1248,0.112,0.0664,0.0785,0.202,0.2039,0.1459
12,0.1754,0.2304,0.4404,0.1999,0.1621,0.1519,0.3086,0.3109,0.4543,0.2984,0.2538,2.1375,0.319,0.2555,0.2623,0.1892,0.1949,0.1999,0.3638,0.3487,0.299,0.3415,0.2861,0.2734,0.4935,0.3319
13,0.149,0.2898,0.3672,0.1911,0.1612,0.1379,0.2331,0.193,0.288,0.2591,0.2075,0.3549,2.1375,0.289,0.1882,0.1409,0.1742,0.1415,0.3253,0.2604,0.2307,0.2609,0.1444,0.2109,0.5239,0.4433
14,0.0688,0.262,0.2348,0.2012,0.1309,0.4519,0.0988,0.2092,0.149,0.2906,0.1602,0.2219,0.1926,2.1375,0.1905,0.2157,0.1333,0.2462,0.2342,0.1622,0.2111,0.2133,0.163,0.3157,0.346,0.3138
15,0.1021,0.2101,0.2535,0.2531,0.2146,0.1355,0.2697,0.2278,0.1847,0.1197,0.1731,0.2604,0.1707,0.1941,2.1375,0.1356,0.18,0.3973,0.1981,0.2092,0.1244,0.1813,0.1463,0.1905,0.2485,0.1342
16,0.2715,0.4759,0.1134,0.1208,0.1519,0.3394,0.105,0.1353,0.0959,0.2241,0.1415,0.1085,0.1077,0.1867,0.1272,2.1375,0.2247,0.128,0.0982,0.1537,0.1106,0.1166,0.1368,0.1765,0.107,0.0986
17,0.1125,0.1161,0.1243,0.175,0.1627,0.2144,0.2045,0.1546,0.1126,0.0645,0.2422,0.1432,0.1631,0.1259,0.1631,0.2203,2.1375,0.1642,0.0748,0.2294,0.1047,0.1078,0.1706,0.1366,0.2311,0.2135
18,0.1645,0.2028,0.2578,0.2095,0.2206,0.1477,0.279,0.1541,0.2158,0.0989,0.1513,0.1958,0.1317,0.2689,0.3639,0.1423,0.1975,2.1375,0.1794,0.2843,0.1065,0.1489,0.142,0.1982,0.2819,0.2479
19,0.2248,0.2177,0.3395,0.2113,0.1854,0.2679,0.3392,0.1953,0.3068,0.247,0.2619,0.3859,0.2875,0.2795,0.2026,0.1108,0.1065,0.1815,2.1375,0.3298,0.2769,0.1881,0.1522,0.437,0.6156,0.4321
20,0.1499,0.2264,0.2705,0.229,0.146,0.1499,0.3245,0.1902,0.2972,0.1125,0.1438,0.3723,0.2397,0.2467,0.2183,0.1806,0.2336,0.2833,0.3344,2.1375,0.2294,0.1039,0.179,0.2746,0.5262,0.5889
21,0.0363,0.0701,0.228,0.1315,0.1197,0.1732,0.2001,0.1055,0.271,0.2588,0.1246,0.2921,0.1894,0.2101,0.1118,0.1531,0.1321,0.0917,0.2552,0.1972,2.1375,0.3436,0.2159,0.0549,0.2395,0.1229
22,0.1009,0.0967,0.2756,0.2057,0.0847,0.0973,0.201,0.1418,0.1354,0.356,0.0822,0.2565,0.2043,0.2425,0.1546,0.1416,0.1341,0.1186,0.1814,0.0791,0.3188,2.1375,0.2303,0.2358,0.3477,0.1604
23,0.084,0.1172,0.2728,0.1521,0.157,0.1438,0.2846,0.1534,0.1861,0.1942,0.0933,0.2826,0.1343,0.1646,0.1448,0.1606,0.2226,0.1484,0.1522,0.1896,0.2274,0.2467,2.1375,0.1416,0.2763,0.1901
24,0.1462,0.2257,0.3136,0.2385,0.1387,0.1605,0.2795,0.1791,0.2432,0.1157,0.2415,0.3176,0.1948,0.386,0.1937,0.2836,0.1593,0.1988,0.446,0.2873,0.081,0.2661,0.1511,2.1375,0.6312,0.305
25,0.1546,0.2527,0.3827,0.3092,0.2154,0.1913,0.3396,0.2528,0.3612,0.2296,0.2292,0.4632,0.4255,0.3836,0.2257,0.1461,0.2589,0.2761,0.5527,0.4566,0.2316,0.3283,0.2595,0.5551,2.1375,0.568
26,0.1664,0.1633,0.3661,0.16,0.1987,0.076,0.244,0.2552,0.2556,0.1057,0.157,0.3445,0.4161,0.3889,0.1278,0.0986,0.2235,0.2417,0.4207,0.5699,0.1266,0.1467,0.1823,0.2742,0.6396,2.1375
