,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2.1804,0.3062,0.1099,0.1564,0.2437,0.3771,0.1046,0.123,0.1576,0.1198,0.1561,0.1769,0.1596,0.0825,0.1226,0.2523,0.135,0.1878,0.2222,0.1799,0.0436,0.1435,0.1009,0.1606,0.1638,0.1933
2,0.3255,2.1804,0.3233,0.2739,0.2643,0.2864,0.3077,0.1887,0.1411,0.1803,0.1934,0.2795,0.3054,0.2856,0.2552,0.4675,0.1601,0.2423,0.271,0.268,0.1346,0.1322,0.1502,0.2671,0.3293,0.1943
3,0.1099,0.2674,2.1804,0.2959,0.1895,0.3152,0.3599,0.3074,0.2603,0.3064,0.1828,0.4634,0.3752,0.3197,0.2815,0.181,0.1728,0.2704,0.3966,0.2979,0.2828,0.358,0.3,0.3305,0.4932,0.3768
4,0.1564,0.1982,0.2429,2.1804,0.2065,0.4821,0.2986,0.2146,0.1842,0.1684,0.1884,0.2123,0.1632,0.2743,0.2539,0.1475,0.2165,0.2242,0.2316,0.2344,0.1431,0.2385,0.1635,0.2297,0.3379,0.1884
5,0.2401,0.2407,0.1916,0.2128,2.1804,0.143,0.1605,0.2121,0.1395,0.2062,0.1847,0.1835,0.1525,0.1579,0.244,0.1823,0.1952,0.288,0.2171,0.1546,0.1563,0.0949,0.1832,0.1425,0.2345,0.2029
6,0.3771,0.2199,0.1876,0.3167,0.143,2.1804,0.1483,0.1403,0.1078,0.1267,0.1461,0.1108,0.0964,0.2993,0.1387,0.3287,0.2397,0.1475,0.2336,0.1117,0.1096,0.0845,0.1486,0.1603,0.122,0.0912
7,0.112,0.2682,0.353,0.3373,0.1583,0.2496,2.1804,0.2118,0.2336,0.1862,0.1559,0.3353,0.234,0.1373,0.3191,0.1366,0.2182,0.3065,0.3556,0.3518,0.1882,0.2369,0.2719,0.3062,0.3953,0.267
8,0.123,0.1739,0.3018,0.221,0.2091,0.1593,0.2139,2.1804,0.2281,0.2073,0.2256,0.3361,0.2287,0.2633,0.2625,0.1694,0.2,0.1789,0.2205,0.1989,0.1313,0.1709,0.1768,0.1949,0.2875,0.2569
9,0.1613,0.1327,0.2689,0.2104,0.1559,0.1078,0.2511,0.2442,2.1804,0.3357,0.1867,0.4939,0.3049,0.2304,0.2294,0.1151,0.1406,0.212,0.3707,0.3376,0.3283,0.1965,0.2481,0.2577,0.4672,0.3142
10,0.1198,0.146,0.2819,0.198,0.1909,0.2406,0.1649,0.1962,0.2918,2.1804,0.0995,0.3298,0.2574,0.3573,0.1266,0.213,0.0888,0.0992,0.2866,0.111,0.3102,0.4641,0.2244,0.1158,0.2934,0.1488
11,0.1561,0.1728,0.1538,0.1826,0.1705,0.1461,0.1379,0.1908,0.1419,0.0688,2.1804,0.2325,0.1847,0.1922,0.1751,0.1698,0.3154,0.1562,0.2586,0.1453,0.0979,0.0771,0.0918,0.2376,0.234,0.1671
12,0.1952,0.249,0.4684,0.2359,0.1878,0.1704,0.3335,0.3492,0.4803,0.3399,0.2979,2.1804,0.3668,0.2948,0.2987,0.2062,0.2158,0.239,0.3866,0.382,0.3433,0.3694,0.3087,0.2871,0.5205,0.35
13,0.1743,0.296,0.3932,0.2258,0.1876,0.1539,0.2567,0.2335,0.3146,0.2875,0.2286,0.4056,2.1804,0.3192,0.2219,0.1625,0.1723,0.1626,0.3749,0.266,0.2687,0.2985,0.1641,0.2535,0.5558,0.4448
14,0.0825,0.2476,0.2469,0.2424,0.1484,0.5107,0.1168,0.2498,0.1783,0.3047,0.1922,0.2605,0.2119,2.1804,0.2305,0.2463,0.1569,0.2731,0.2791,0.1929,0.2528,0.2446,0.1946,0.3236,0.3649,0.3417
15,0.1226,0.2374,0.2868,0.2999,0.2477,0.1577,0.319,0.2652,0.2185,0.1377,0.1983,0.2957,0.202,0.2352,2.1804,0.1599,0.2104,0.4451,0.2201,0.247,0.1455,0.2092,0.1715,0.2095,0.2712,0.1559
16,0.2523,0.4311,0.1356,0.1427,0.1823,0.3814,0.126,0.161,0.1151,0.2062,0.1698,0.1255,0.1293,0.2173,0.1515,2.1804,0.278,0.1536,0.1178,0.1525,0.1306,0.147,0.1674,0.2103,0.1151,0.1183
17,0.135,0.139,0.1464,0.2059,0.1952,0.2513,0.2087,0.1832,0.1332,0.0745,0.2711,0.1641,0.1612,0.1495,0.1935,0.2718,2.1804,0.2044,0.0898,0.2109,0.1258,0.1326,0.2106,0.1617,0.224,0.2166
18,0.1889,0.2264,0.2722,0.2493,0.2542,0.1723,0.3224,0.1826,0.2188,0.1123,0.1762,0.2314,0.1521,0.2997,0.406,0.1679,0.2435,2.1804,0.2138,0.3092,0.1234,0.1694,0.1758,0.2183,0.3015,0.2586
19,0.2327,0.2372,0.368,0.2467,0.2101,0.2552,0.3657,0.2221,0.3427,0.2759,0.2904,0.4117,0.3335,0.3323,0.2263,0.1305,0.1297,0.2217,2.1804,0.3501,0.3031,0.2149,0.178,0.4706,0.6523,0.4518
20,0.1799,0.2396,0.2948,0.2581,0.1646,0.1665,0.3507,0.2005,0.315,0.1157,0.1673,0.4121,0.2444,0.291,0.2598,0.1794,0.2151,0.3111,0.3548,2.1804,0.2495,0.1222,0.1763,0.3151,0.5688,0.6337
21,0.0436,0.0844,0.2687,0.1551,0.1426,0.1856,0.1921,0.1239,0.2964,0.3028,0.1105,0.3379,0.2232,0.2547,0.1323,0.1796,0.161,0.1081,0.2771,0.2129,2.1804,0.3828,0.2619,0.063,0.2707,0.136
22,0.1118,0.1143,0.3071,0.2457,0.0997,0.1114,0.2212,0.1677,0.1577,0.4181,0.0929,0.2786,0.2387,0.2804,0.1808,0.1767,0.1648,0.1374,0.2095,0.091,0.3521,2.1804,0.2754,0.2326,0.3555,0.1758
23,0.1009,0.1391,0.3132,0.1756,0.1864,0.1676,0.2867,0.1773,0.2176,0.2281,0.1066,0.304,0.154,0.1962,0.1699,0.199,0.2804,0.1875,0.1775,0.1869,0.2749,0.2947,2.1804,0.1476,0.2898,0.2273
24,0.1717,0.2587,0.3311,0.2768,0.1645,0.1872,0.3062,0.2141,0.2427,0.1296,0.2772,0.3387,0.2332,0.403,0.2127,0.3301,0.1844,0.2188,0.482,0.3273,0.0903,0.2622,0.1571,2.1804,0.6658,0.3424
25,0.176,0.2705,0.4168,0.3511,0.2368,0.2096,0.3517,0.2781,0.3764,0.2535,0.2622,0.4866,0.443,0.4034,0.2465,0.1541,0.2554,0.2981,0.5754,0.4851,0.2593,0.3306,0.2695,0.5752,2.1804,0.6018
26,0.197,0.1722,0.3643,0.1868,0.2276,0.0912,0.2587,0.2647,0.277,0.1232,0.1782,0.3647,0.4139,0.425,0.1505,0.1183,0.2334,0.2547,0.4378,0.6108,0.1422,0.1616,0.2194,0.3079,0.6877,2.1804
