,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2.333,0.2675,0.0916,0.1303,0.306,0.3142,0.1433,0.1025,0.135,0.0998,0.1301,0.1601,0.1594,0.0688,0.1021,0.2102,0.1125,0.1635,0.2256,0.1499,0.0363,0.1326,0.084,0.1352,0.1889,0.176
2,0.2926,2.333,0.3274,0.2592,0.2378,0.2499,0.3021,0.1812,0.1431,0.2145,0.2111,0.2646,0.2844,0.2468,0.2434,0.3936,0.1372,0.2252,0.2836,0.2603,0.1527,0.1146,0.1459,0.2383,0.3422,0.1786
3,0.0916,0.2585,2.333,0.3097,0.1853,0.2886,0.3536,0.3239,0.2534,0.3464,0.1678,0.5753,0.3948,0.3359,0.2864,0.1809,0.1745,0.3239,0.4753,0.3531,0.2995,0.3591,0.3351,0.3283,0.6148,0.4265
4,0.1303,0.1767,0.2372,2.333,0.1737,0.524,0.2821,0.1807,0.1635,0.1804,0.1693,0.2083,0.2211,0.2916,0.2459,0.1255,0.1855,0.2028,0.2287,0.249,0.1379,0.2534,0.14,0.229,0.4043,0.2098
5,0.3023,0.2111,0.1874,0.1801,2.333,0.1192,0.1711,0.2115,0.1242,0.1859,0.1617,0.1757,0.1734,0.1404,0.2745,0.1519,0.1627,0.2973,0.229,0.1359,0.1551,0.08,0.1744,0.1334,0.2858,0.1971
6,0.3142,0.1834,0.161,0.3382,0.1192,2.333,0.127,0.1181,0.0898,0.1143,0.1217,0.0923,0.0804,0.3058,0.1165,0.2866,0.2028,0.1229,0.1895,0.095,0.0972,0.0704,0.1248,0.1336,0.1037,0.076
7,0.1507,0.2619,0.3474,0.3413,0.1713,0.2283,2.333,0.1812,0.2789,0.2159,0.1661,0.3319,0.3102,0.1304,0.3212,0.2059,0.2321,0.2934,0.3667,0.3445,0.185,0.3139,0.2667,0.3199,0.4786,0.3706
8,0.1025,0.1664,0.3125,0.187,0.2067,0.1371,0.1833,2.333,0.2422,0.2414,0.2275,0.3675,0.2211,0.299,0.2252,0.1437,0.1715,0.1931,0.2625,0.2713,0.1128,0.1983,0.1956,0.1809,0.3565,0.2745
9,0.1387,0.1346,0.2586,0.1945,0.1405,0.0898,0.2943,0.2628,2.333,0.3527,0.2579,0.5041,0.3058,0.2499,0.2698,0.0959,0.12,0.2675,0.3749,0.3506,0.3404,0.2035,0.287,0.2824,0.5035,0.3552
10,0.0998,0.1803,0.3144,0.2209,0.1706,0.2283,0.1884,0.2296,0.2988,2.333,0.1211,0.3406,0.2771,0.3681,0.1208,0.18,0.0787,0.0979,0.3226,0.1261,0.2916,0.4637,0.1905,0.1295,0.3906,0.1624
