,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2.1375,0.2921,0.0916,0.1303,0.3649,0.4642,0.1746,0.1025,0.135,0.1292,0.1301,0.1581,0.1746,0.0688,0.1021,0.2715,0.1125,0.1635,0.2713,0.1499,0.0363,0.1326,0.084,0.1352,0.2263,0.184
2,0.3084,2.1375,0.2961,0.2417,0.2239,0.2778,0.3314,0.1931,0.157,0.2583,0.239,0.2846,0.3223,0.2978,0.2542,0.5075,0.1372,0.2463,0.3167,0.2869,0.1152,0.1146,0.1564,0.2519,0.3588,0.1992
3,0.0916,0.2467,2.1375,0.2511,0.1964,0.2886,0.3742,0.335,0.2552,0.3229,0.1678,0.6319,0.4021,0.3248,0.2756,0.1527,0.1437,0.3635,0.4734,0.3564,0.2404,0.3139,0.3435,0.3252,0.53,0.4615
4,0.1303,0.1695,0.2079,2.1375,0.1737,0.4228,0.2875,0.1807,0.1564,0.1413,0.1693,0.1775,0.2229,0.2289,0.213,0.1255,0.1855,0.1874,0.1984,0.2452,0.122,0.2005,0.14,0.1956,0.3392,0.1843
5,0.3612,0.2018,0.1985,0.1801,2.1375,0.1192,0.1723,0.1807,0.1242,0.1859,0.1617,0.1864,0.1619,0.1404,0.2734,0.1519,0.1627,0.248,0.2205,0.1359,0.1325,0.08,0.1538,0.1185,0.281,0.175
6,0.4642,0.2113,0.161,0.2678,0.1192,2.1375,0.127,0.1181,0.0898,0.1143,0.1217,0.0923,0.0804,0.2539,0.1165,0.2866,0.2028,0.1229,0.238,0.095,0.0972,0.0704,0.1248,0.1336,0.1037,0.076
7,0.182,0.2922,0.367,0.316,0.1689,0.2283,2.1375,0.1953,0.2611,0.2017,0.1827,0.3213,0.3516,0.1175,0.2647,0.2601,0.2863,0.2957,0.3508,0.3497,0.1935,0.2924,0.302,0.3442,0.4841,0.4166
8,0.1025,0.1783,0.3324,0.187,0.1785,0.1371,0.1975,2.1375,0.2386,0.25,0.1844,0.3602,0.1877,0.2867,0.2252,0.1437,0.1715,0.2188,0.2746,0.3416,0.1128,0.2302,0.2212,0.1629,0.3733,0.3126
9,0.1387,0.1486,0.2654,0.1801,0.1405,0.0898,0.2796,0.2526,2.1375,0.2849,0.2643,0.4826,0.2746,0.2325,0.2335,0.0959,0.12,0.3298,0.3274,0.3295,0.2995,0.1711,0.2955,0.3324,0.4678,0.357
10,0.1292,0.224,0.3022,0.1655,0.1706,0.2283,0.1834,0.2393,0.2459,2.1375,0.0795,0.2876,0.2612,0.3348,0.109,0.2309,0.0787,0.086,0.2774,0.1056,0.2664,0.3974,0.1905,0.1013,0.3407,0.128
