,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2.1804,0.305,0.1099,0.1564,0.3614,0.3771,0.1672,0.123,0.1576,0.1198,0.1561,0.1765,0.1898,0.0825,0.1226,0.2523,0.135,0.1878,0.265,0.1799,0.0436,0.1435,0.1009,0.1606,0.2267,0.2092
2,0.3242,2.1804,0.3315,0.2739,0.2643,0.2855,0.342,0.2125,0.169,0.2456,0.2492,0.2975,0.3232,0.2839,0.276,0.4639,0.1601,0.263,0.32,0.2923,0.1346,0.1322,0.1712,0.2804,0.368,0.2048
3,0.1099,0.2756,2.1804,0.2959,0.2117,0.3152,0.393,0.354,0.2725,0.3509,0.1828,0.6139,0.4157,0.3375,0.3029,0.181,0.1728,0.3531,0.4795,0.3611,0.2828,0.3562,0.3628,0.3403,0.5575,0.4405
4,0.1564,0.1982,0.2429,2.1804,0.2065,0.4821,0.2986,0.2146,0.1842,0.1684,0.1884,0.2123,0.2275,0.2743,0.2539,0.1475,0.2165,0.2242,0.2316,0.2591,0.1431,0.2385,0.1635,0.2297,0.3707,0.2054
5,0.3577,0.2407,0.2138,0.2128,2.1804,0.143,0.1865,0.2121,0.1395,0.2062,0.1847,0.2049,0.1777,0.1579,0.2911,0.1823,0.1952,0.288,0.2362,0.1546,0.1563,0.0949,0.1832,0.1425,0.2868,0.2029
6,0.3771,0.219,0.1876,0.3167,0.143,2.1804,0.1483,0.1403,0.1078,0.1267,0.1461,0.1108,0.0964,0.2993,0.1387,0.3287,0.2397,0.1475,0.2274,0.1117,0.1096,0.0845,0.1486,0.1603,0.122,0.0912
7,0.1745,0.3025,0.3861,0.3373,0.1843,0.2496,2.1804,0.2118,0.2834,0.2123,0.189,0.346,0.3401,0.1373,0.3191,0.245,0.2724,0.3316,0.3732,0.3688,0.1882,0.2995,0.2969,0.3544,0.4778,0.3913
8,0.123,0.1977,0.3485,0.221,0.2091,0.1593,0.2139,2.1804,0.262,0.2605,0.2256,0.3823,0.2287,0.3128,0.2625,0.1694,0.2,0.2302,0.2813,0.3137,0.1313,0.2349,0.2281,0.1949,0.3712,0.3046
9,0.1613,0.1606,0.281,0.2104,0.1559,0.1078,0.3009,0.2781,2.1804,0.3357,0.2663,0.5061,0.3035,0.2594,0.2594,0.1151,0.1406,0.3022,0.3691,0.3456,0.3283,0.1965,0.3082,0.3156,0.488,0.3656
10,0.1198,0.2114,0.3264,0.198,0.1909,0.2406,0.1909,0.2494,0.2918,2.1804,0.0995,0.3295,0.2816,0.3573,0.1266,0.213,0.0888,0.0992,0.3045,0.1088,0.3102,0.4641,0.2244,0.1158,0.3536,0.1488
11,0.1561,0.2286,0.1538,0.1826,0.1705,0.1461,0.1711,0.1908,0.2214,0.0688,2.1804,0.2598,0.2154,0.1922,0.1751,0.1698,0.3154,0.1562,0.257,0.1728,0.0979,0.0771,0.0918,0.2376,0.2793,0.2009
12,0.1948,0.2669,0.6189,0.2359,0.2091,0.1704,0.3442,0.3954,0.4925,0.3395,0.3252,2.1804,0.4206,0.3346,0.319,0.2062,0.2158,0.3628,0.4395,0.433,0.3626,0.4205,0.37,0.326,0.5807,0.4314
13,0.2046,0.3138,0.4337,0.2901,0.2128,0.1539,0.3628,0.2335,0.3132,0.3116,0.2593,0.4594,2.1804,0.3416,0.2462,0.1625,0.2225,0.1626,0.3825,0.2909,0.2687,0.2985,0.1641,0.2691,0.6114,0.5134
14,0.0825,0.246,0.2647,0.2424,0.1484,0.5107,0.1168,0.2993,0.2073,0.3047,0.1922,0.3004,0.2344,2.1804,0.2305,0.2463,0.1569,0.2731,0.2791,0.2129,0.2528,0.2446,0.1946,0.3236,0.3981,0.3332
15,0.1226,0.2581,0.3083,0.2999,0.2948,0.1577,0.319,0.2652,0.2485,0.1377,0.1983,0.316,0.2263,0.2352,2.1804,0.1599,0.2104,0.4451,0.274,0.2885,0.188,0.2092,0.1715,0.2387,0.3112,0.1559
16,0.2523,0.4275,0.1356,0.1427,0.1823,0.3814,0.2344,0.161,0.1151,0.2062,0.1698,0.1255,0.1293,0.2173,0.1515,2.1804,0.278,0.1536,0.197,0.1928,0.1306,0.147,0.1674,0.2103,0.1131,0.1183
17,0.135,0.139,0.1464,0.2059,0.1952,0.2513,0.2629,0.1832,0.1332,0.0745,0.2711,0.1641,0.2114,0.1495,0.1935,0.2718,2.1804,0.2044,0.0898,0.2913,0.1258,0.1326,0.2106,0.1617,0.2899,0.3143
18,0.1889,0.2472,0.3549,0.2493,0.2542,0.1723,0.3475,0.2339,0.309,0.1123,0.1762,0.3552,0.1521,0.2997,0.406,0.1679,0.2435,2.1804,0.2321,0.3257,0.1659,0.1694,0.2667,0.2766,0.3652,0.2852
19,0.2755,0.2862,0.4509,0.2467,0.2291,0.2491,0.3834,0.2829,0.3411,0.2937,0.2888,0.4646,0.3412,0.3323,0.2801,0.2097,0.1297,0.2401,2.1804,0.4237,0.3009,0.2835,0.1963,0.5138,0.758,0.4898
20,0.1799,0.2638,0.3581,0.2828,0.1646,0.1665,0.3677,0.3152,0.323,0.1135,0.1948,0.463,0.2693,0.311,0.3014,0.2197,0.2955,0.3276,0.4285,2.1804,0.2669,0.1222,0.2136,0.3405,0.6804,0.7564
21,0.0436,0.0844,0.2687,0.1551,0.1426,0.1856,0.1921,0.1239,0.2964,0.3028,0.1105,0.3572,0.2232,0.2547,0.1748,0.1796,0.161,0.1507,0.2749,0.2303,2.1804,0.3828,0.2619,0.0903,0.2769,0.1453
22,0.1118,0.1143,0.3053,0.2457,0.0997,0.1114,0.2837,0.2317,0.1577,0.4181,0.0929,0.3297,0.2387,0.2804,0.1808,0.1767,0.1648,0.1374,0.2781,0.091,0.3521,2.1804,0.2754,0.2326,0.3889,0.2678
23,0.1009,0.1602,0.376,0.1756,0.1864,0.1676,0.3118,0.2286,0.2777,0.2281,0.1066,0.3653,0.154,0.1962,0.1699,0.199,0.2804,0.2784,0.1958,0.2241,0.2749,0.2947,2.1804,0.2351,0.3355,0.2657
24,0.1717,0.272,0.3409,0.2768,0.1645,0.1872,0.3544,0.2141,0.3005,0.1296,0.2772,0.3776,0.2488,0.403,0.2419,0.3301,0.1844,0.2772,0.5252,0.3526,0.1176,0.2622,0.2446,2.1804,0.7014,0.3695
25,0.2388,0.3092,0.4811,0.3839,0.2891,0.2096,0.4342,0.3617,0.3972,0.3137,0.3076,0.5467,0.4986,0.4366,0.2865,0.1521,0.3212,0.3619,0.681,0.5966,0.2656,0.364,0.3152,0.6108,2.1804,0.7603
26,0.2129,0.1826,0.428,0.2038,0.2276,0.0912,0.383,0.3124,0.3285,0.1232,0.212,0.446,0.4826,0.4164,0.1505,0.1183,0.3312,0.2813,0.4757,0.7335,0.1514,0.2536,0.2578,0.335,0.8462,2.1804
